Norman SusDat ID	SMILES	MS_Ready_SMILES	selected
NS00003556	CC(C)NCC(O)COc1ccc(CCO)cc1	CC(C)NCC(O)COc1ccc(CCO)cc1	no
NS00004579	CC(C)(C(O)=O)c1ccc(cc1)C(=O)CCCN1CCC(CC1)C(c1ccccc1)c1ccc(O)cc1	CC(C)(C(=O)O)c1ccc(cc1)C(=O)CCCN1CCC(CC1)C(c1ccccc1)c1ccc(O)cc1	no
NS00005637	CNC(=O)O\N=C(/CS(C)(=O)=O)C(C)(C)C	CNC(=O)O/N=C(\CS(=O)(=O)C)/C(C)(C)C	no
NS00005918	CNC(=O)O\N=C(/CS(C)=O)C(C)(C)C	CNC(=O)O/N=C(/CS(=O)C)\C(C)(C)C	no
NS00006051	COC(=O)[C@@H](C)Oc1ccc(O)cc1	COC(=O)C(C)Oc1ccc(O)cc1	no
NS00008020	CNC(=O)O\N=C(/C)C(C)S(C)=O	CNC(=O)O/N=C(\C)/C(C)S(=O)C	no
NS00009430	CC1(C)[C@H]2CC[C@]1(C)[C@@](C)(O)C2	CC1(C)C2CCC1(C)C(C)(O)C2	no
NS00009474	CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@]2(C)C[C@@H](C)[C@]3(O2)O[C@@]1(C)[C@H](O)[C@H]3C	CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(C2O)N(C)C)C2(C)CC(C)C3(O2)OC1(C)C(O)C3C	no
NS00011448	CN(C)CC1CCCCC1=O	CN(C)CC1CCCCC1=O	no
NS00011487	CC(C)(C(O)=O)c1ccc(cc1)C(=O)CCCN2CCC(CC2)C(O)(c3ccccc3)c4ccccc4	CC(C)(C(=O)O)c1ccc(cc1)C(=O)CCCN1CCC(CC1)C(O)(c1ccccc1)c1ccccc1	no
NS00011488	COC(=O)[C@@H](C)O	COC(=O)C(C)O	no
NS00015194	C1=CN(C(=O)NC1=O)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OC3C(C(C(C(O3)C(=O)O)O)O)O)O)O	c1cn(c(=O)[nH]c1=O)C1C(C(C(O1)COP(=O)(O)OP(=O)(O)OC1C(C(C(C(O1)C(=O)O)O)O)O)O)O	no
NS00038257	C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C[C@@H]([C@H]4[C@@]3(CC[C@H](C4)O)C)O)C	CC(CCC(=O)O)C1CCC2C1(CCC1C2CC(C2C1(CCC(C2)O)C)O)C	no
NS00002724	COC(=O)N(C(=O)N1COC2(Cc3cc(Cl)ccc3C2=N1)C(=O)OC)c1ccc(OC(F)(F)F)cc1	COC(=O)N(C(=O)N1COC2(Cc3cc(Cl)ccc3C2=N1)C(=O)OC)c1ccc(OC(F)(F)F)cc1	yes
NS00002181	ClCC(Cl)(Cl)Cl	ClCC(Cl)(Cl)Cl	yes
NS00010827	C(C(Cl)Cl)(Cl)Cl	C(C(Cl)Cl)(Cl)Cl	yes
NS00004799	ClCC(Cl)Cl	ClCC(Cl)Cl	yes
NS00010609	CC(C)(C)OOC1(CCCCC1)OOC(C)(C)C	CC(C)(C)OOC1(CCCCC1)OOC(C)(C)C	yes
NS00001673	CC(Cl)Cl	CC(Cl)Cl	yes
NS00008027	ClC(Cl)=C	ClC(=C)Cl	yes
NS00022802	CCC(Cl)Cl	CCC(Cl)Cl	yes
NS00033509	CC=C(Cl)Cl	CC=C(Cl)Cl	yes
NS00003840	Clc1ccc(Cl)c(Cl)c1Cl	Clc1ccc(Cl)c(Cl)c1Cl	yes
NS00009847	Cc1cc(C)c(C)c(C)c1	Cc1cc(C)c(C)c(C)c1	yes
NS00010261	C1=CC=C2C(=C1)NN=N2	c1ccc2c(c1)[nH]nn2	yes
NS00004401	Clc1cccc(Cl)c1Cl	Clc1cccc(Cl)c1Cl	yes
NS00010824	CC1=C(C(=CC=C1)C)C	Cc1c(c(ccc1)C)C	yes
NS00006362	Cc1cc(C)c(C)cc1C	Cc1cc(C)c(C)cc1C	yes
NS00009780	O=c1[nH]nc2ccccn12	O=c1[nH]nc2ccccn12	yes
NS00001861	Clc1ccc(Cl)c(Cl)c1	Clc1ccc(Cl)c(Cl)c1	yes
NS00005771	O=Cc1ccccc1C=O	O=Cc1ccccc1C=O	yes
NS00022490	OC(=O)c1c(cc(cc1)[N+](=O)[O-])C(=O)O	OC(=O)c1c(cc(cc1)N(=O)=O)C(=O)O	yes
NS00027621	CCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCC	CCCCCCCCCCCCOC(=O)c1ccccc1C(=O)OCCCCCCCCCCCC	yes
NS00000271	c12c(cccc2)s[nH]c1=O	c12c(cccc1)s[nH]c2=O	yes
NS00004230	CC(=O)c1ccccc1C(C)=O	CC(=O)c1ccccc1C(=O)C	yes
NS00006746	ClCC(Br)CBr	ClCC(Br)CBr	yes
NS00002962	BrCCBr	BrCCBr	yes
NS00008007	Clc1ccccc1Cl	Clc1ccccc1Cl	yes
NS00004126	ClCCCl	ClCCCl	yes
NS00000126	CC1=NC=C(N1C)[N+](=O)[O-]	Cc1ncc(n1C)N(=O)=O	yes
NS00000294	CCNC1=NC(O)=NC(NC(C)(C)C)=N1	CCNc1nc(O)nc(NC(C)(C)C)n1	yes
NS00000309	Oc1nc(NCC)nc(NCC)n1	Oc1nc(NCC)nc(NCC)n1	yes
NS00003796	Nc1nc(=O)nc(N)[nH]1	Nc1nc(=O)nc(N)[nH]1	yes
NS00000254	n(c(nc1NC(C)C)O)c(n1)N	n1c(nc(NC(C)C)nc1N)O	yes
NS00004747	Clc1cc(Cl)cc(Cl)c1	Clc1cc(Cl)cc(Cl)c1	yes
NS00004224	Cc1cc(C)cc(C)c1	Cc1cc(C)cc(C)c1	yes
NS00034308	Oc1cccc(O)c1[N+](=O)[O-]	Oc1cccc(O)c1N(=O)=O	yes
NS00007558	C=CC=C	C=CC=C	yes
NS00006298	Clc1cccc(Cl)c1	Clc1cccc(Cl)c1	yes
NS00004738	ClCCCCl	ClCCCCl	yes
NS00007908	ClCC=CCl	ClC/C=C/Cl	yes
NS00011462	N=C(Nc1ccccc1)Nc2ccccc2	N=C(Nc1ccccc1)Nc1ccccc1	yes
NS00011502	C(CCOCC1CO1)COCC2CO2	C(CCOCC1CO1)COCC1CO1	yes
NS00007644	Clc1ccc(Cl)c(c1)N(=O)=O	Clc1ccc(Cl)c(c1)N(=O)=O	yes
NS00010822	C1=CC(=CC=C1Cl)Cl	c1cc(ccc1Cl)Cl	yes
NS00006566	O=C1CCCCCCCCCCC(=O)OCCO1	O=C1CCCCCCCCCCC(=O)OCCO1	yes
NS00002649	C1COCCO1	C1COCCO1	yes
NS00008339	NCCCCCCCCCCC(O)=O	NCCCCCCCCCCC(=O)O	yes
NS00008601	C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2(O)C#C	yes
NS00008517	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	CC12CCC3C(CCc4cc(O)ccc34)C1CCC2O	yes
NS00007300	CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O	CC12C=CC3=C4CCC(=O)C=C4CCC3C1CCC2O	yes
NS00010270	O=C4\C=C3/[C@](C2CC[C@]1(C(CC[C@@]1(O)C)[C@@H]2CC3)C)(C)CC4	O=C1C=C2C(C3CCC4(C(CCC4(O)C)C3CC2)C)(C)CC1	yes
NS00003347	Clc1ccc(cc1N(=O)=O)N(=O)=O	Clc1ccc(cc1N(=O)=O)N(=O)=O	yes
NS00007401	Cc1c(Cl)cccc1[N+]([O-])=O	Cc1c(Cl)cccc1N(=O)=O	yes
NS00002910	[O-][N+](=O)c1ccccc1Cl	O=N(=O)c1ccccc1Cl	yes
NS00008526	[O-][N+](=O)c1cccc(Cl)c1	O=N(=O)c1cccc(Cl)c1	yes
NS00022760	CCN(N=O)C(=O)N	CCN(N=O)C(=O)N	yes
NS00011490	COCC(C)OC(C)=O	COCC(C)OC(=O)C	yes
NS00005113	CCCCCCCCNCCCCCCCC	CCCCCCCCNCCCCCCCC	yes
NS00017966	CC(=O)CC1=CC=CC=C1	CC(=O)Cc1ccccc1	yes
NS00006711	CC(Oc1cc(Cl)c(Cl)cc1Cl)C(O)=O	CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O	yes
NS00011510	CCCCOCCOCCOC(=O)C(C)=C	CCCCOCCOCCOC(=O)C(=C)C	yes
NS00007054	OCCSc1nc2ccccc2s1	OCCSc1nc2ccccc2s1	yes
NS00007832	CSc1nc2ccccc2s1	CSc1nc2ccccc2s1	yes
NS00009252	Nc1ccccc1S(=O)(=O)c1ccccc1	Nc1ccccc1S(=O)(=O)c1ccccc1	yes
NS00001212	Clc1cc(Cl)c(cc1Cl)-c1cc(Cl)c(Cl)c(Cl)c1Cl	Clc1cc(Cl)c(cc1Cl)c1cc(Cl)c(Cl)c(Cl)c1Cl	yes
NS00005294	Clc1cc(Cl)c(cc1Cl)-c1ccc(Cl)c(Cl)c1Cl	Clc1cc(Cl)c(cc1Cl)c1ccc(Cl)c(Cl)c1Cl	yes
NS00005442	Clc1cc(Cl)c(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl	Clc1cc(Cl)c(cc1Cl)c1cc(Cl)c(Cl)cc1Cl	yes
NS00008675	Clc1ccc(Cl)c(c1)-c1cc(Cl)c(Cl)cc1Cl	Clc1ccc(Cl)c(c1)c1cc(Cl)c(Cl)cc1Cl	yes
NS00001956	Clc1ccc(Cl)c(c1)-c1cc(Cl)ccc1Cl	Clc1ccc(Cl)c(c1)c1cc(Cl)ccc1Cl	yes
NS00008501	CC1(C)CC(=O)CC(C)(C)N1	CC1(C)CC(=O)CC(C)(C)N1	yes
NS00001962	Clc1ccc(cc1Cl)-c1cc(Cl)c(Cl)cc1Cl	Clc1ccc(cc1Cl)c1cc(Cl)c(Cl)cc1Cl	yes
NS00009965	Oc1cc(Cl)c(Cl)c(Cl)c1Cl	Oc1cc(Cl)c(Cl)c(Cl)c1Cl	yes
NS00010239	Oc1c(Cl)cc(Cl)c(Cl)c1Cl	Oc1c(Cl)cc(Cl)c(Cl)c1Cl	yes
