file,group
blank1,blk
blank2,blk
blank3,blk
blank4,blk
wash,blk
stds_pos_neg_MS,noFrag
stds_pos_neg_MS_highconc,noFrag
stds_pos_neg_MS_highconc_HCD,noFrag
stds_pos_neg_MS_highconc_HCD_mz100-800,noFrag
stds_pos_neg_MS_highconc_UVPD_100_150,noFrag
stds_pos_neg_MS_highconc_UVPD_200_250,noFrag
stds_pos_neg_MS_highconc_UVPD_50_300,noFrag
RiverMeuse_50xdil_ddA_ACE_MS3_pos_01,RiverMeuse
RiverMeuse_50xdil_ddA_ACE_MS3_pos_02,RiverMeuse
RiverMeuse_50xdil_ddA_ACE_MS3_pos_03,RiverMeuse
RiverMeuse_50xdil_ddA_UVPD_50_150ms_pos_01,RiverMeuse
RiverMeuse_50xdil_ddA_UVPD_50_150ms_pos_02,RiverMeuse
RiverMeuse_50xdil_ddA_UVPD_50_150ms_pos_03,RiverMeuse
RiverMeuse_50xdil_ddA_ACE_MS2_pos_01,RiverMeuse
RiverMeuse_50xdil_ddA_ACE_MS2_pos_02,RiverMeuse
RiverMeuse_50xdil_ddA_ACE_MS2_pos_03,RiverMeuse
stds_pos_neg_MS_highconc_UVPD_100_150_mz50,noFrag
stds_pos_neg_MS_highconc_UVPD_200_250_mz50,noFrag
stds_pos_neg_MS_highconc_UVPD_50_300_mz50,noFrag
stds_pos_neg_MS_highconc_UVPD_400_500_mz50,noFrag
stds_pos_neg_MS_highconc_UVPD_25_800_mz50,noFrag
stds_pos_neg_MS_highconc_UVPD_50_300_mz50_acQ21,noFrag
KWRstds_pos_neg_MS1,KWR
blank_DBP_B2,blk
DBP_neg_UVPD_25_800,DBP
DBP_neg_UVPD_50_300,DBP
DBP_neg_UVPD_100_150,DBP
DBP_neg_UVPD_200_250,DBP
DBP_neg_UVPD_400_500,DBP
DBP_neg_HCD_20_35_60,DBP
blank_CastellonStds,blk
CastellonStds_pos_UVPD_25_800,Castellon
CastellonStds_pos_UVPD_50_300,Castellon
CastellonStds_pos_UVPD_100_150,Castellon
CastellonStds_pos_UVPD_200_250,Castellon
CastellonStds_pos_UVPD_400_500,Castellon
CastellonStds_pos_HCD_20_35_60,Castellon
blank_KWRstds,blk
KWRstds_UVPD_25_800_met1,KWR
KWRstds_UVPD_25_800_met2,KWR
KWRstds_UVPD_50_300_met1,KWR
KWRstds_UVPD_50_300_met2,KWR
KWRstds_UVPD_100_150_met1,KWR
KWRstds_UVPD_100_150_met2,KWR
KWRstds_UVPD_200_250_met1,KWR
KWRstds_UVPD_200_250_met2,KWR
KWRstds_UVPD_400_500_met1,KWR
KWRstds_UVPD_400_500_met2,KWR
KWRstds_HCD_20_35_60_met1,KWR
KWRstds_HCD_20_35_60_met2,KWR
blank_Meuse,blk
RiverMeuse_50xdil_ddA_UVPD_100_150ms_pos_01,RiverMeuse
RiverMeuse_50xdil_ddA_UVPD_100_150ms_pos_02,RiverMeuse
RiverMeuse_50xdil_ddA_UVPD_100_150ms_pos_03,RiverMeuse
Lek_MS1,Lek
blank_test,blk
blank_test,blk
blank_test,blk
Lek_ddA_stepped_01,Lek
Lek_ddA_stepped_02,Lek
Lek_ddA_stepped_03,Lek
Lek_ddA_UVPD_01,Lek
Lek_ddA_UVPD_02,Lek
Lek_ddA_UVPD_03,Lek
